,Unnamed: 0,Unnamed: 1,z,y,x,z_corr,y_corr,x_corr,r,theta,phi,phi_bin,theta_bin,d_i,d_o
3974,796,1917023,288,907,226,-224.4970383407348,241.51517766074352,-188.9012918930616,380.0160514282647,2.2027927230616986,2.234558462403495,30,7,90.0499861188218,8.602325267042627
3975,796,1950713,291,906,263,-221.4970383407348,240.8651776607435,-164.8512918930616,366.4054042206117,2.219951413825363,2.170984531960796,30,7,68.24221567329127,15.0
3976,797,1750424,265,905,226,-247.4970383407348,240.2151776607435,-188.9012918930616,393.2452334674705,2.251539506591853,2.2371793047426918,30,8,95.29952780575567,0.0
3977,797,1745348,264,905,226,-248.4970383407348,240.2151776607435,-188.9012918930616,393.875370798387,2.2535124801758,2.2371793047426918,30,8,95.65040512198576,0.0
3978,797,1740252,263,913,234,-249.4970383407348,245.4151776607435,-183.7012918930616,395.2512444132621,2.2539428608410264,2.2133577185573614,30,8,97.70363350459388,1.4142135623730951
3979,797,1781256,271,939,267,-241.4970383407348,262.3151776607436,-162.2512918930616,391.7340343645178,2.23506331338142,2.124733617944521,30,8,98.9595877113481,0.0
3980,797,1755617,266,910,230,-246.4970383407348,243.4651776607435,-186.3012918930616,393.375461874727,2.248005196170704,2.2239591761428854,30,8,96.6126285741155,0.0
3981,798,1698275,255,916,244,-257.4970383407348,247.3651776607435,-177.2012918930616,398.6157971304588,2.273100110892204,2.192414701746596,30,9,97.47307320486,2.23606797749979
3982,798,1676681,251,917,247,-261.4970383407348,248.01517766074352,-175.2512918930616,400.7558417805696,2.281687852226998,2.185948232074702,30,9,98.16312953446422,3.3166247903554
3983,798,1660504,248,939,273,-264.4970383407348,262.3151776607436,-158.3512918930616,404.7753294932995,2.282918395963148,2.1139085589075,30,9,104.04806581575652,8.246211251235321
3984,798,1676836,251,936,268,-261.4970383407348,260.3651776607435,-161.6012918930616,402.8469986741774,2.277226586732158,2.126277084946972,30,9,102.88342918079664,6.928203230275509
3985,798,1665797,249,916,247,-263.4970383407348,247.3651776607435,-175.2512918930616,401.6630872306502,2.286323075533897,2.1871855681226298,30,9,98.10708435174293,3.4641016151377544
3986,799,1627343,242,925,266,-270.4970383407348,253.2151776607435,-162.9012918930616,404.75104057840207,2.302723853067353,2.1424693575856963,30,10,98.3717439105356,4.123105625617661
3987,799,1616004,240,911,246,-272.4970383407348,244.1151776607435,-175.9012918930616,405.9410306417132,2.306720528055993,2.195192565762377,30,10,98.2089608946149,4.898979485566356
3988,799,1575947,233,929,274,-279.4970383407348,255.8151776607435,-157.7012918930616,410.4018725926827,2.3199681533233294,2.12323509171702,30,10,101.32620588969075,8.06225774829855
3989,799,1610200,239,913,251,-273.4970383407348,245.4151776607435,-172.6512918930616,406.0021034425201,2.309911911942464,2.183872097075933,30,10,97.57561170702442,4.123105625617661
3990,799,1627489,242,940,285,-270.4970383407348,262.9651776607435,-150.5512918930616,406.1834855135363,2.299560068903196,2.090760436836847,30,10,101.7152889196113,6.557438524302
3991,800,1505456,221,935,298,-291.4970383407348,259.7151776607435,-142.1012918930616,415.469943589724,2.348447973245978,2.071443270884936,30,11,100.84145972763385,8.366600265340756
3992,800,1541007,227,930,279,-285.4970383407348,256.4651776607435,-154.4512918930616,413.6884671118152,2.332459043044879,2.1128546865978843,30,11,102.26436329435587,9.486832980505138
3993,800,1511216,222,904,244,-290.4970383407348,239.5651776607435,-177.2012918930616,416.14937400040856,2.3434802338964538,2.2076591006554898,30,11,101.19782606360673,10.392304845413264
3994,800,1475093,216,929,293,-296.4970383407348,255.8151776607435,-145.3512918930616,417.7067116068485,2.360040524947284,2.087496663918151,30,11,100.02999550134948,8.774964387392123
3995,800,1540931,227,917,262,-285.4970383407348,248.01517766074352,-165.5012918930616,412.8083875961019,2.334494074920184,2.159239394652563,30,11,99.98499887483122,8.12403840463596
3996,801,1449770,212,915,272,-300.4970383407348,246.7151776607435,-159.0012918930616,420.0574481703519,2.367951655401145,2.1432763772682524,30,12,100.1299156096718,10.04987562112089
